stateid,year,month,price,date,price_lag_1,price_lag_2,price_lag_3,price_lag_12,rolling_mean_3m,rolling_mean_12m,rolling_std_3m,rolling_std_12m,month_sin,month_cos,yoy_change,price_spike
CA,2002,1,13.03,2002-01-01,12.26,12.12,12.49,10.89,12.290000000000001,12.074166666666665,0.18681541692270176,0.7821120395597058,0.49999999999999994,0.8660254037844387,0.1965105601469237,0
CA,2002,2,12.58,2002-02-01,13.03,12.26,12.12,11.14,12.469999999999999,12.2525,0.4900000000000032,0.7297835918332853,0.8660254037844386,0.5000000000000001,0.12926391382405744,0
CA,2002,3,12.58,2002-03-01,12.58,13.03,12.26,11.29,12.623333333333335,12.3725,0.38682468035705336,0.6435148511389338,1.0,6.123233995736766e-17,0.11426040744021271,0
CA,2002,4,12.05,2002-04-01,12.58,12.58,13.03,11.14,12.729999999999999,12.480000000000002,0.2598076211353378,0.5467091631671354,0.8660254037844387,-0.49999999999999983,0.0816876122082586,0
CA,2002,5,12.82,2002-05-01,12.05,12.58,12.58,11.97,12.403333333333334,12.555833333333332,0.30599564267050156,0.3823482071556656,0.49999999999999994,-0.8660254037844387,0.07101086048454475,0
CA,2002,6,12.87,2002-06-01,12.82,12.05,12.58,12.87,12.483333333333334,12.626666666666665,0.39399661589071183,0.34038302845560114,1.2246467991473532e-16,-1.0,0.0,0
CA,2002,7,13.28,2002-07-01,12.87,12.82,12.05,13.05,12.58,12.626666666666665,0.459673797382447,0.34038302845560114,-0.4999999999999998,-0.8660254037844388,0.017624521072796773,0
CA,2002,8,12.92,2002-08-01,13.28,12.87,12.82,12.8,12.99,12.645833333333334,0.2523885892824734,0.37144578298450254,-0.8660254037844384,-0.5000000000000004,0.009374999999999911,0
CA,2002,9,11.61,2002-09-01,12.92,13.28,12.87,12.87,13.023333333333332,12.655833333333334,0.2236813209307613,0.3775388801972672,-1.0,-1.8369701987210297e-16,-0.09790209790209792,0
CA,2002,10,11.98,2002-10-01,11.61,12.92,13.28,12.49,12.603333333333333,12.550833333333332,0.8788818654024745,0.4751546797590969,-0.8660254037844386,0.5000000000000001,-0.04083266613290626,0
CA,2002,11,12.55,2002-11-01,11.98,11.61,12.92,12.12,12.17,12.508333333333335,0.6753517601961245,0.503078402227604,-0.5000000000000004,0.8660254037844384,0.03547854785478566,0
CA,2002,12,13.31,2002-12-01,12.55,11.98,11.61,12.26,12.046666666666667,12.544166666666667,0.47353282181210915,0.48799139957647425,-2.4492935982947064e-16,1.0,0.0856443719412725,0
CA,2003,1,12.81,2003-01-01,13.31,12.55,11.98,13.03,12.613333333333335,12.631666666666666,0.6672580710140061,0.5251291327479426,0.49999999999999994,0.8660254037844387,-0.016884113584036742,0
CA,2003,2,12.41,2003-02-01,12.81,13.31,12.55,12.58,12.89,12.613333333333335,0.38626415831655486,0.513673637692851,0.8660254037844386,0.5000000000000001,-0.013513513513513487,0
CA,2003,3,11.42,2003-03-01,12.41,12.81,13.31,12.58,12.843333333333334,12.599166666666667,0.4509249752822864,0.5170099055378365,1.0,6.123233995736766e-17,-0.09220985691573924,0
CA,2003,4,12.51,2003-04-01,11.42,12.41,12.81,12.05,12.213333333333333,12.5025,0.7155650447956068,0.6192535829528963,0.8660254037844387,-0.49999999999999983,0.038174273858921026,0
CA,2003,5,12.74,2003-05-01,12.51,11.42,12.41,12.82,12.113333333333335,12.540833333333333,0.6025224753760976,0.6027129323217469,0.49999999999999994,-0.8660254037844387,-0.006240249609984372,0
CA,2003,6,13.12,2003-06-01,12.74,12.51,11.42,12.87,12.223333333333334,12.53416666666667,0.7051477386571833,0.5997796312485161,1.2246467991473532e-16,-1.0,0.019425019425019396,0
CA,2003,7,13.5,2003-07-01,13.12,12.74,12.51,13.28,12.79,12.555,0.308058436014989,0.6166109720959325,-0.4999999999999998,-0.8660254037844388,0.016566265060240948,0
CA,2003,8,12.9,2003-08-01,13.5,13.12,12.74,12.92,13.12,12.573333333333332,0.3799999999999981,0.6428393455929906,-0.8660254037844384,-0.5000000000000004,-0.001547987616099089,0
CA,2003,9,10.08,2003-09-01,12.9,13.5,13.12,11.61,13.173333333333332,12.571666666666665,0.3035347316755223,0.6418840639205431,-1.0,-1.8369701987210297e-16,-0.131782945736434,0
CA,2003,10,10.47,2003-10-01,10.08,12.9,13.5,11.98,12.160000000000002,12.444166666666668,1.8261434773861565,0.935204968620961,-0.8660254037844386,0.5000000000000001,-0.12604340567612682,0
CA,2003,11,12.54,2003-11-01,10.47,10.08,12.9,12.55,11.15,12.318333333333335,1.5280379576437255,1.0918111169756028,-0.5000000000000004,0.8660254037844384,-0.0007968127490041166,0
CA,2003,12,12.45,2003-12-01,12.54,10.47,10.08,13.31,11.030000000000001,12.3175,1.322157328006016,1.091622020831219,-2.4492935982947064e-16,1.0,-0.06461307287753582,0
CA,2004,1,12.59,2004-01-01,12.45,12.54,10.47,12.81,11.82,12.245833333333332,1.1700000000000015,1.0478936303871964,0.49999999999999994,0.8660254037844387,-0.01717408274785326,0
CA,2004,2,12.39,2004-02-01,12.59,12.45,12.54,12.41,12.526666666666666,12.2275,0.07094598884597761,1.039012861938063,0.8660254037844386,0.5000000000000001,-0.0016116035455278066,0
CA,2004,3,12.14,2004-03-01,12.39,12.59,12.45,11.42,12.476666666666667,12.225833333333334,0.10263202878894007,1.0387094994474737,1.0,6.123233995736766e-17,0.06304728546409821,0
CA,2004,4,11.43,2004-04-01,12.14,12.39,12.59,12.51,12.373333333333333,12.285833333333331,0.22546248764114635,1.0082789867648303,0.8660254037844387,-0.49999999999999983,-0.08633093525179858,0
CA,2004,5,11.97,2004-05-01,11.43,12.14,12.39,12.74,11.986666666666666,12.195833333333333,0.49802945026708617,1.0343153935494387,0.49999999999999994,-0.8660254037844387,-0.06043956043956045,0
CA,2004,6,12.4,2004-06-01,11.97,11.43,12.14,13.12,11.84666666666667,12.131666666666666,0.37072002014099065,1.0212900338950388,1.2246467991473532e-16,-1.0,-0.05487804878048774,0
CA,2004,7,12.19,2004-07-01,12.4,11.97,11.43,13.5,11.933333333333335,12.071666666666667,0.48603840726154196,0.978187873136603,-0.4999999999999998,-0.8660254037844388,-0.09703703703703703,0
CA,2004,8,12.5,2004-08-01,12.19,12.4,11.97,12.9,12.186666666666667,11.9625,0.21501937897160836,0.8715829382117417,-0.8660254037844384,-0.5000000000000004,-0.03100775193798455,0
CA,2004,9,12.18,2004-09-01,12.5,12.19,12.4,10.08,12.363333333333335,11.929166666666667,0.15821925715075175,0.8395286375897654,-1.0,-1.8369701987210297e-16,0.20833333333333326,0
CA,2004,10,11.43,2004-10-01,12.18,12.5,12.19,10.47,12.290000000000001,12.104166666666666,0.18193405398660994,0.60519656210844,-0.8660254037844386,0.5000000000000001,0.09169054441260727,0
CA,2004,11,12.5,2004-11-01,11.43,12.18,12.5,12.54,12.036666666666667,12.184166666666664,0.5492115560813854,0.39727385410005545,-0.5000000000000004,0.8660254037844384,-0.0031897926634768536,0
CA,2004,12,12.4,2004-12-01,12.5,11.43,12.18,12.45,12.036666666666667,12.180833333333334,0.5492115560813854,0.39417251260960184,-2.4492935982947064e-16,1.0,-0.004016064257028051,0
CA,2005,1,12.19,2005-01-01,12.4,12.5,11.43,12.59,12.11,12.176666666666668,0.5910160742314914,0.3913225438603434,0.49999999999999994,0.8660254037844387,-0.031771247021445626,0
CA,2005,2,12.33,2005-02-01,12.19,12.4,12.5,12.39,12.363333333333335,12.143333333333333,0.15821925715075705,0.36933191116671377,0.8660254037844386,0.5000000000000001,-0.004842615012106588,0
