stateid,statedescription,sectorid,sectorname,price,sales,price-units,sales-units,year,month
CA,California,COM,commercial,28.18,7809.0944,cents per kilowatt-hour,million kilowatt hours,2026,3
CA,California,IND,industrial,20.06,3299.71962,cents per kilowatt-hour,million kilowatt hours,2026,3
CA,California,RES,residential,33.35,6728.31442,cents per kilowatt-hour,million kilowatt hours,2026,3
CO,Colorado,COM,commercial,13.01,1804.37089,cents per kilowatt-hour,million kilowatt hours,2026,3
CO,Colorado,IND,industrial,9.77,1255.39261,cents per kilowatt-hour,million kilowatt hours,2026,3
CO,Colorado,RES,residential,16.74,1496.30553,cents per kilowatt-hour,million kilowatt hours,2026,3
IL,Illinois,COM,commercial,13.07,3703.63947,cents per kilowatt-hour,million kilowatt hours,2026,3
IL,Illinois,IND,industrial,9.19,3496.47502,cents per kilowatt-hour,million kilowatt hours,2026,3
IL,Illinois,RES,residential,18.86,3312.20618,cents per kilowatt-hour,million kilowatt hours,2026,3
NY,New York,COM,commercial,22.21,5643.92704,cents per kilowatt-hour,million kilowatt hours,2026,3
NY,New York,IND,industrial,8.73,1233.44274,cents per kilowatt-hour,million kilowatt hours,2026,3
NY,New York,RES,residential,28.55,4078.54872,cents per kilowatt-hour,million kilowatt hours,2026,3
TX,Texas,COM,commercial,8.69,14400.24913,cents per kilowatt-hour,million kilowatt hours,2026,3
TX,Texas,IND,industrial,6.26,12895.46317,cents per kilowatt-hour,million kilowatt hours,2026,3
TX,Texas,RES,residential,16.39,10547.48492,cents per kilowatt-hour,million kilowatt hours,2026,3
CA,California,COM,commercial,24.73,8582.83455,cents per kilowatt-hour,million kilowatt hours,2026,2
CA,California,IND,industrial,18.91,2953.66285,cents per kilowatt-hour,million kilowatt hours,2026,2
CA,California,RES,residential,33.22,5814.8205,cents per kilowatt-hour,million kilowatt hours,2026,2
CO,Colorado,COM,commercial,13.27,1523.98233,cents per kilowatt-hour,million kilowatt hours,2026,2
CO,Colorado,IND,industrial,9.38,1131.16194,cents per kilowatt-hour,million kilowatt hours,2026,2
CO,Colorado,RES,residential,16.79,1452.86461,cents per kilowatt-hour,million kilowatt hours,2026,2
IL,Illinois,COM,commercial,13.33,3648.82592,cents per kilowatt-hour,million kilowatt hours,2026,2
IL,Illinois,IND,industrial,9.62,3075.99572,cents per kilowatt-hour,million kilowatt hours,2026,2
IL,Illinois,RES,residential,17.83,3896.01094,cents per kilowatt-hour,million kilowatt hours,2026,2
NY,New York,COM,commercial,23.49,6218.01231,cents per kilowatt-hour,million kilowatt hours,2026,2
NY,New York,IND,industrial,10.92,1115.01217,cents per kilowatt-hour,million kilowatt hours,2026,2
NY,New York,RES,residential,29.99,4931.62918,cents per kilowatt-hour,million kilowatt hours,2026,2
TX,Texas,COM,commercial,8.9,13057.04658,cents per kilowatt-hour,million kilowatt hours,2026,2
TX,Texas,IND,industrial,7.2,12533.68782,cents per kilowatt-hour,million kilowatt hours,2026,2
TX,Texas,RES,residential,15.41,11805.44363,cents per kilowatt-hour,million kilowatt hours,2026,2
CA,California,COM,commercial,23.13,8485.6024,cents per kilowatt-hour,million kilowatt hours,2026,1
CA,California,IND,industrial,19.11,2969.04184,cents per kilowatt-hour,million kilowatt hours,2026,1
CA,California,RES,residential,30.29,8500.72726,cents per kilowatt-hour,million kilowatt hours,2026,1
CO,Colorado,COM,commercial,12.5,1790.10544,cents per kilowatt-hour,million kilowatt hours,2026,1
CO,Colorado,IND,industrial,9.36,1271.0917,cents per kilowatt-hour,million kilowatt hours,2026,1
CO,Colorado,RES,residential,16.44,1734.50104,cents per kilowatt-hour,million kilowatt hours,2026,1
IL,Illinois,COM,commercial,12.28,4069.73278,cents per kilowatt-hour,million kilowatt hours,2026,1
IL,Illinois,IND,industrial,10.27,3547.22722,cents per kilowatt-hour,million kilowatt hours,2026,1
IL,Illinois,RES,residential,16.36,4398.18752,cents per kilowatt-hour,million kilowatt hours,2026,1
NY,New York,COM,commercial,22.28,6322.31339,cents per kilowatt-hour,million kilowatt hours,2026,1
NY,New York,IND,industrial,12.81,1293.18686,cents per kilowatt-hour,million kilowatt hours,2026,1
NY,New York,RES,residential,28.37,5033.90447,cents per kilowatt-hour,million kilowatt hours,2026,1
TX,Texas,COM,commercial,8.64,14272.48726,cents per kilowatt-hour,million kilowatt hours,2026,1
TX,Texas,IND,industrial,7.25,13308.22651,cents per kilowatt-hour,million kilowatt hours,2026,1
TX,Texas,RES,residential,15.69,13949.8656,cents per kilowatt-hour,million kilowatt hours,2026,1
CA,California,COM,commercial,26.92,9582.47466,cents per kilowatt-hour,million kilowatt hours,2025,12
CA,California,IND,industrial,19.86,3127.3613,cents per kilowatt-hour,million kilowatt hours,2025,12
CA,California,RES,residential,34.71,5911.17633,cents per kilowatt-hour,million kilowatt hours,2025,12
CO,Colorado,COM,commercial,12.21,1680.89593,cents per kilowatt-hour,million kilowatt hours,2025,12
CO,Colorado,IND,industrial,8.83,1261.59295,cents per kilowatt-hour,million kilowatt hours,2025,12
CO,Colorado,RES,residential,16.12,1667.64135,cents per kilowatt-hour,million kilowatt hours,2025,12
IL,Illinois,COM,commercial,12.42,4064.8563,cents per kilowatt-hour,million kilowatt hours,2025,12
IL,Illinois,IND,industrial,10.1,3513.87602,cents per kilowatt-hour,million kilowatt hours,2025,12
IL,Illinois,RES,residential,17.07,4165.17427,cents per kilowatt-hour,million kilowatt hours,2025,12
NY,New York,COM,commercial,20.61,6047.14693,cents per kilowatt-hour,million kilowatt hours,2025,12
NY,New York,IND,industrial,10.44,1367.7693,cents per kilowatt-hour,million kilowatt hours,2025,12
NY,New York,RES,residential,27.39,4580.67379,cents per kilowatt-hour,million kilowatt hours,2025,12
TX,Texas,COM,commercial,9.03,12629.84417,cents per kilowatt-hour,million kilowatt hours,2025,12
TX,Texas,IND,industrial,6.67,14115.39251,cents per kilowatt-hour,million kilowatt hours,2025,12
TX,Texas,RES,residential,15.87,12163.29326,cents per kilowatt-hour,million kilowatt hours,2025,12
CA,California,COM,commercial,24.39,8947.44316,cents per kilowatt-hour,million kilowatt hours,2025,11
CA,California,IND,industrial,19.29,3193.78878,cents per kilowatt-hour,million kilowatt hours,2025,11
CA,California,RES,residential,31.89,5693.06,cents per kilowatt-hour,million kilowatt hours,2025,11
CO,Colorado,COM,commercial,12.62,1657.56234,cents per kilowatt-hour,million kilowatt hours,2025,11
CO,Colorado,IND,industrial,9.12,1209.44486,cents per kilowatt-hour,million kilowatt hours,2025,11
CO,Colorado,RES,residential,16.35,1425.95342,cents per kilowatt-hour,million kilowatt hours,2025,11
IL,Illinois,COM,commercial,13.22,3560.80615,cents per kilowatt-hour,million kilowatt hours,2025,11
IL,Illinois,IND,industrial,9.96,3270.32648,cents per kilowatt-hour,million kilowatt hours,2025,11
IL,Illinois,RES,residential,18.31,3120.2831,cents per kilowatt-hour,million kilowatt hours,2025,11
NY,New York,COM,commercial,19.81,5340.36962,cents per kilowatt-hour,million kilowatt hours,2025,11
NY,New York,IND,industrial,8.95,1236.62326,cents per kilowatt-hour,million kilowatt hours,2025,11
NY,New York,RES,residential,26.42,3554.34041,cents per kilowatt-hour,million kilowatt hours,2025,11
TX,Texas,COM,commercial,8.21,14290.64097,cents per kilowatt-hour,million kilowatt hours,2025,11
TX,Texas,IND,industrial,6.63,13398.81352,cents per kilowatt-hour,million kilowatt hours,2025,11
TX,Texas,RES,residential,16.04,10403.34158,cents per kilowatt-hour,million kilowatt hours,2025,11
CA,California,COM,commercial,26.94,10271.50484,cents per kilowatt-hour,million kilowatt hours,2025,10
CA,California,IND,industrial,23.05,3822.66672,cents per kilowatt-hour,million kilowatt hours,2025,10
CA,California,RES,residential,33.6,6558.57408,cents per kilowatt-hour,million kilowatt hours,2025,10
CO,Colorado,COM,commercial,12.59,1728.45565,cents per kilowatt-hour,million kilowatt hours,2025,10
CO,Colorado,IND,industrial,9.14,1292.64876,cents per kilowatt-hour,million kilowatt hours,2025,10
CO,Colorado,RES,residential,16.26,1483.68176,cents per kilowatt-hour,million kilowatt hours,2025,10
IL,Illinois,COM,commercial,13.66,3685.56782,cents per kilowatt-hour,million kilowatt hours,2025,10
IL,Illinois,IND,industrial,10.31,3432.11929,cents per kilowatt-hour,million kilowatt hours,2025,10
IL,Illinois,RES,residential,18.74,3108.45021,cents per kilowatt-hour,million kilowatt hours,2025,10
NY,New York,COM,commercial,20.82,5777.0513,cents per kilowatt-hour,million kilowatt hours,2025,10
NY,New York,IND,industrial,9.23,1315.04176,cents per kilowatt-hour,million kilowatt hours,2025,10
NY,New York,RES,residential,26.95,3615.11377,cents per kilowatt-hour,million kilowatt hours,2025,10
TX,Texas,COM,commercial,8.71,15396.03457,cents per kilowatt-hour,million kilowatt hours,2025,10
TX,Texas,IND,industrial,6.65,15001.07421,cents per kilowatt-hour,million kilowatt hours,2025,10
TX,Texas,RES,residential,16.1,14076.9494,cents per kilowatt-hour,million kilowatt hours,2025,10
CA,California,COM,commercial,30.36,10006.9868,cents per kilowatt-hour,million kilowatt hours,2025,9
CA,California,IND,industrial,25.47,3850.3945,cents per kilowatt-hour,million kilowatt hours,2025,9
CA,California,RES,residential,32.04,9010.75244,cents per kilowatt-hour,million kilowatt hours,2025,9
CO,Colorado,COM,commercial,13.58,1724.68088,cents per kilowatt-hour,million kilowatt hours,2025,9
CO,Colorado,IND,industrial,9.26,1327.18199,cents per kilowatt-hour,million kilowatt hours,2025,9
CO,Colorado,RES,residential,16.7,1692.24079,cents per kilowatt-hour,million kilowatt hours,2025,9
IL,Illinois,COM,commercial,14.04,3785.33994,cents per kilowatt-hour,million kilowatt hours,2025,9
IL,Illinois,IND,industrial,10.75,3553.7847,cents per kilowatt-hour,million kilowatt hours,2025,9
IL,Illinois,RES,residential,19.05,3560.5002,cents per kilowatt-hour,million kilowatt hours,2025,9
NY,New York,COM,commercial,22.73,5995.71756,cents per kilowatt-hour,million kilowatt hours,2025,9
NY,New York,IND,industrial,8.91,1380.16155,cents per kilowatt-hour,million kilowatt hours,2025,9
NY,New York,RES,residential,27.23,4177.88286,cents per kilowatt-hour,million kilowatt hours,2025,9
TX,Texas,COM,commercial,8.78,16068.41086,cents per kilowatt-hour,million kilowatt hours,2025,9
TX,Texas,IND,industrial,6.75,15068.3068,cents per kilowatt-hour,million kilowatt hours,2025,9
TX,Texas,RES,residential,15.83,16829.26855,cents per kilowatt-hour,million kilowatt hours,2025,9
CA,California,COM,commercial,29.46,10910.67823,cents per kilowatt-hour,million kilowatt hours,2025,8
CA,California,IND,industrial,24.65,4187.36795,cents per kilowatt-hour,million kilowatt hours,2025,8
CA,California,RES,residential,31.65,8766.13158,cents per kilowatt-hour,million kilowatt hours,2025,8
CO,Colorado,COM,commercial,13.24,2010.4114,cents per kilowatt-hour,million kilowatt hours,2025,8
CO,Colorado,IND,industrial,9.66,1384.12693,cents per kilowatt-hour,million kilowatt hours,2025,8
CO,Colorado,RES,residential,16.37,2214.09585,cents per kilowatt-hour,million kilowatt hours,2025,8
IL,Illinois,COM,commercial,13.94,4347.54089,cents per kilowatt-hour,million kilowatt hours,2025,8
IL,Illinois,IND,industrial,10.8,3777.6423,cents per kilowatt-hour,million kilowatt hours,2025,8
IL,Illinois,RES,residential,18.06,4864.08518,cents per kilowatt-hour,million kilowatt hours,2025,8
NY,New York,COM,commercial,22.43,6836.56764,cents per kilowatt-hour,million kilowatt hours,2025,8
NY,New York,IND,industrial,9.93,1420.0017,cents per kilowatt-hour,million kilowatt hours,2025,8
NY,New York,RES,residential,26.67,5612.87364,cents per kilowatt-hour,million kilowatt hours,2025,8
TX,Texas,COM,commercial,8.85,16880.80492,cents per kilowatt-hour,million kilowatt hours,2025,8
TX,Texas,IND,industrial,6.58,16008.92246,cents per kilowatt-hour,million kilowatt hours,2025,8
TX,Texas,RES,residential,15.46,19413.07682,cents per kilowatt-hour,million kilowatt hours,2025,8
CA,California,COM,commercial,30.08,10186.88106,cents per kilowatt-hour,million kilowatt hours,2025,7
CA,California,IND,industrial,25.27,4059.09253,cents per kilowatt-hour,million kilowatt hours,2025,7
