location,statedescription,sectorid,sectordescription,fueltypeid,fueltypedescription,generation,generation-units,year,month
CA,California,1,Electric Utility,ALL,all fuels,4706.16589,thousand megawatthours,2026,3
CA,California,1,Electric Utility,AOR,all renewables,149.58491,thousand megawatthours,2026,3
CA,California,1,Electric Utility,BIO,biomass,6.14616,thousand megawatthours,2026,3
CA,California,1,Electric Utility,DFO,distillate fuel oil,2.5332,thousand megawatthours,2026,3
CA,California,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,3
CA,California,1,Electric Utility,FOS,fossil fuels,1013.37056,thousand megawatthours,2026,3
CA,California,1,Electric Utility,GEO,geothermal,41.77,thousand megawatthours,2026,3
CA,California,1,Electric Utility,HPS,hydro-electric pumped storage,-83.605,thousand megawatthours,2026,3
CA,California,1,Electric Utility,HYC,conventional hydroelectric,2063.92843,thousand megawatthours,2026,3
CA,California,1,Electric Utility,LFG,landfill gas,,thousand megawatthours,2026,3
CA,California,1,Electric Utility,MLG,municiapl landfill gas,,thousand megawatthours,2026,3
CA,California,1,Electric Utility,NG,natural gas,1010.72336,thousand megawatthours,2026,3
CA,California,1,Electric Utility,NGO,natural gas & other gases,1010.72336,thousand megawatthours,2026,3
CA,California,1,Electric Utility,NUC,nuclear,1569.155,thousand megawatthours,2026,3
CA,California,1,Electric Utility,OB2,biomass,5.97687,thousand megawatthours,2026,3
CA,California,1,Electric Utility,OBW,biomass,5.97687,thousand megawatthours,2026,3
CA,California,1,Electric Utility,OOG,other gases,0.0,thousand megawatthours,2026,3
CA,California,1,Electric Utility,ORW,other renewables,5.97687,thousand megawatthours,2026,3
CA,California,1,Electric Utility,OTH,other,-6.268,thousand megawatthours,2026,3
CA,California,1,Electric Utility,PEL,petroleum liquids,2.6472,thousand megawatthours,2026,3
CA,California,1,Electric Utility,PET,petroleum,2.6472,thousand megawatthours,2026,3
CA,California,1,Electric Utility,REN,renewable,2213.51334,thousand megawatthours,2026,3
CA,California,1,Electric Utility,RFO,residual fuel oil,0.0,thousand megawatthours,2026,3
CA,California,1,Electric Utility,SPV,solar photovoltaic,33.58198,thousand megawatthours,2026,3
CA,California,1,Electric Utility,SUN,solar,33.58198,thousand megawatthours,2026,3
CA,California,1,Electric Utility,TPV,estimated total solar photovoltaic,33.58198,thousand megawatthours,2026,3
CA,California,1,Electric Utility,TSN,estimated total solar,33.58198,thousand megawatthours,2026,3
CA,California,1,Electric Utility,WAS,renewable waste products,6.14616,thousand megawatthours,2026,3
CA,California,1,Electric Utility,WND,wind,68.08677,thousand megawatthours,2026,3
CA,California,1,Electric Utility,WNT,onshore wind turbine,68.08677,thousand megawatthours,2026,3
CA,California,1,Electric Utility,WOO,waste oil and other oils,0.114,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,ALL,all fuels,2482.51761,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,AOR,all renewables,540.22994,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,BIS,bituminous coal and synthetic coal,61.02914,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,BIT,bituminous coal,61.02914,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,COL,"coal, excluding waste coal",325.26947,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,COW,all coal products,325.26947,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,DFO,distillate fuel oil,,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,FOS,fossil fuels,1762.33829,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,HPS,hydro-electric pumped storage,11.331,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,HYC,conventional hydroelectric,168.62539,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,NG,natural gas,1434.56087,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,NGO,natural gas & other gases,1434.56087,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,OTH,other,-0.007,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,PEL,petroleum liquids,,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,PET,petroleum,,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,REN,renewable,708.85533,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,SPV,solar photovoltaic,132.28065,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,SUB,subbituminous coal,264.24033,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,SUN,solar,132.28065,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,TPV,estimated total solar photovoltaic,132.28065,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,TSN,estimated total solar,132.28065,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,WND,wind,407.94929,thousand megawatthours,2026,3
CO,Colorado,1,Electric Utility,WNT,onshore wind turbine,407.94929,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,ALL,all fuels,549.34606,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,AOR,all renewables,115.82781,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,BIO,biomass,7.93715,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,BIS,bituminous coal and synthetic coal,127.96133,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,BIT,bituminous coal,127.96133,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,COL,"coal, excluding waste coal",127.96133,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,COW,all coal products,127.96133,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,DFO,distillate fuel oil,0.56313,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,FOS,fossil fuels,429.13556,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,HYC,conventional hydroelectric,,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,LFG,landfill gas,7.93715,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,MLG,municiapl landfill gas,7.93715,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,NG,natural gas,300.6111,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,NGO,natural gas & other gases,300.6111,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,OTH,other,0.0,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,PC,petroleum coke,0.0,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,PEL,petroleum liquids,0.56313,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,PET,petroleum,0.56313,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,REN,renewable,120.2105,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,SPV,solar photovoltaic,39.29724,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,SUB,subbituminous coal,0.0,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,SUN,solar,39.29724,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,TPV,estimated total solar photovoltaic,39.29724,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,TSN,estimated total solar,39.29724,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,WAS,renewable waste products,7.93715,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,WND,wind,68.59342,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,WNT,onshore wind turbine,68.59342,thousand megawatthours,2026,3
IL,Illinois,1,Electric Utility,WOO,waste oil and other oils,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,ALL,all fuels,2508.49478,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,BIS,bituminous coal and synthetic coal,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,BIT,bituminous coal,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,COL,"coal, excluding waste coal",0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,COW,all coal products,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,DFO,distillate fuel oil,2.26191,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,FOS,fossil fuels,690.20082,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,HPS,hydro-electric pumped storage,-40.238,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,HYC,conventional hydroelectric,1858.53196,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,NG,natural gas,686.85064,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,NGO,natural gas & other gases,686.85064,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,OTH,other,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,PEL,petroleum liquids,3.35017,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,PET,petroleum,3.35017,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,REN,renewable,1858.53196,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,RFO,residual fuel oil,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,TPV,estimated total solar photovoltaic,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,TSN,estimated total solar,0.0,thousand megawatthours,2026,3
NY,New York,1,Electric Utility,WOO,waste oil and other oils,,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,ALL,all fuels,6060.15655,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,AOR,all renewables,368.24028,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,BIO,biomass,25.565,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,COL,"coal, excluding waste coal",1404.0803,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,COW,all coal products,1404.0803,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,DFO,distillate fuel oil,3.30478,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,FOS,fossil fuels,5569.39131,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,HYC,conventional hydroelectric,122.60497,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,LIG,lignite coal,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,NG,natural gas,4162.00623,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,NGO,natural gas & other gases,4162.00623,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,OB2,biomass,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,OBW,biomass,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,ORW,other renewables,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,OTH,other,-0.08,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,PEL,petroleum liquids,3.30478,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,PET,petroleum,3.30478,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,RC,refined coal,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,REN,renewable,490.84524,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,RFO,residual fuel oil,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,SPV,solar photovoltaic,40.17921,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,SUB,subbituminous coal,1404.0803,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,SUN,solar,40.17921,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,TPV,estimated total solar photovoltaic,40.17921,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,TSN,estimated total solar,40.17921,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,WAS,renewable waste products,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,WND,wind,302.49607,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,WNT,onshore wind turbine,302.49607,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,WOO,waste oil and other oils,0.0,thousand megawatthours,2026,3
TX,Texas,1,Electric Utility,WWW,wood and wood wastes,25.565,thousand megawatthours,2026,3
CA,California,1,Electric Utility,ALL,all fuels,4515.21366,thousand megawatthours,2026,2
CA,California,1,Electric Utility,AOR,all renewables,115.07205,thousand megawatthours,2026,2
CA,California,1,Electric Utility,BIO,biomass,4.15794,thousand megawatthours,2026,2
CA,California,1,Electric Utility,DFO,distillate fuel oil,2.1734,thousand megawatthours,2026,2
CA,California,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,2
CA,California,1,Electric Utility,FOS,fossil fuels,1239.90311,thousand megawatthours,2026,2
CA,California,1,Electric Utility,GEO,geothermal,52.65,thousand megawatthours,2026,2
CA,California,1,Electric Utility,HPS,hydro-electric pumped storage,-79.283,thousand megawatthours,2026,2
CA,California,1,Electric Utility,HYC,conventional hydroelectric,1779.2065,thousand megawatthours,2026,2
CA,California,1,Electric Utility,LFG,landfill gas,,thousand megawatthours,2026,2
CA,California,1,Electric Utility,MLG,municiapl landfill gas,,thousand megawatthours,2026,2
CA,California,1,Electric Utility,NG,natural gas,1237.62171,thousand megawatthours,2026,2
CA,California,1,Electric Utility,NGO,natural gas & other gases,1237.62171,thousand megawatthours,2026,2
CA,California,1,Electric Utility,NUC,nuclear,1468.18,thousand megawatthours,2026,2
CA,California,1,Electric Utility,OB2,biomass,3.9954,thousand megawatthours,2026,2
CA,California,1,Electric Utility,OBW,biomass,3.9954,thousand megawatthours,2026,2
CA,California,1,Electric Utility,OOG,other gases,0.0,thousand megawatthours,2026,2
CA,California,1,Electric Utility,ORW,other renewables,3.9954,thousand megawatthours,2026,2
CA,California,1,Electric Utility,OTH,other,-7.865,thousand megawatthours,2026,2
CA,California,1,Electric Utility,PEL,petroleum liquids,2.2814,thousand megawatthours,2026,2
CA,California,1,Electric Utility,PET,petroleum,2.2814,thousand megawatthours,2026,2
CA,California,1,Electric Utility,REN,renewable,1894.27855,thousand megawatthours,2026,2
CA,California,1,Electric Utility,RFO,residual fuel oil,0.0,thousand megawatthours,2026,2
CA,California,1,Electric Utility,SPV,solar photovoltaic,24.81226,thousand megawatthours,2026,2
CA,California,1,Electric Utility,SUN,solar,24.81226,thousand megawatthours,2026,2
CA,California,1,Electric Utility,TPV,estimated total solar photovoltaic,24.81226,thousand megawatthours,2026,2
CA,California,1,Electric Utility,TSN,estimated total solar,24.81226,thousand megawatthours,2026,2
CA,California,1,Electric Utility,WAS,renewable waste products,4.15794,thousand megawatthours,2026,2
CA,California,1,Electric Utility,WND,wind,33.45186,thousand megawatthours,2026,2
CA,California,1,Electric Utility,WNT,onshore wind turbine,33.45186,thousand megawatthours,2026,2
CA,California,1,Electric Utility,WOO,waste oil and other oils,0.108,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,ALL,all fuels,2518.88065,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,AOR,all renewables,447.45744,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,BIS,bituminous coal and synthetic coal,-4.27815,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,BIT,bituminous coal,-4.27815,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,COL,"coal, excluding waste coal",579.63526,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,COW,all coal products,579.63526,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,DFO,distillate fuel oil,,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,DPV,estimated small scale solar photovoltaic,0.0,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,FOS,fossil fuels,1898.34635,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,HPS,hydro-electric pumped storage,6.238,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,HYC,conventional hydroelectric,166.85186,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,NG,natural gas,1316.97811,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,NGO,natural gas & other gases,1316.97811,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,OTH,other,-0.013,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,PEL,petroleum liquids,,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,PET,petroleum,,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,REN,renewable,614.3093,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,SPV,solar photovoltaic,90.07312,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,SUB,subbituminous coal,583.9134,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,SUN,solar,90.07312,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,TPV,estimated total solar photovoltaic,90.07312,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,TSN,estimated total solar,90.07312,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,WND,wind,357.38432,thousand megawatthours,2026,2
CO,Colorado,1,Electric Utility,WNT,onshore wind turbine,357.38432,thousand megawatthours,2026,2
IL,Illinois,1,Electric Utility,ALL,all fuels,608.16474,thousand megawatthours,2026,2
IL,Illinois,1,Electric Utility,AOR,all renewables,116.29539,thousand megawatthours,2026,2
